Employers who were issued a positive Labour Market Impact Assessment (LMIA) by National Occupational Classification (NOC) 2011 and business location in 2016,,,,
Province/Territory,Employer,Address,Occupations under NOC 2011,Positions Approved
,"Bluenose Brewing Company, Inc","Lunenburg, NS B0J 2C0","0016-Senior managers - construction, transportation, production and utilities",1
,Bragg Lumber Co Ltd,"Collingwood, NS B0M 1E0",8431-General farm workers,5
,Burnott Limited,"New Glasgow, NS B2H 3S4",6311-Food service supervisors,3
,Canard Orchards Ltd,"Centreville, NS B0P 1J0",8431-General farm workers,14
,CAP Farms Inc,"Grafton, NS B0P 1V0",8431-General farm workers,24
,Classic Freight Systems (2011) Ltd.,"Dartmouth, NS B3N 1N8",7511-Transport truck drivers,4
,Clearwater Seafoods Limited Partnership,"Lunenburg, NS B0J 2C0",7242-Industrial electricians,2
,CloudKettle Inc.,"Halifax, NS B3L 2W1",2174-Computer programmers and interactive media developers,1
,Coastal Pizza Company Inc.,"Halifax, NS B3S 1B3",6322-Cooks,2
,Comvest Commercial Reas Estate Inc.,"Halifax, NS B3J 3E5",6322-Cooks,1
,Craig Nichols Farms Ltd,"Aylesford, NS B0P 1C0",8431-General farm workers,61
,Crisp Growers Inc.,"Berwick, NS B0P 1E0",8431-General farm workers,12
,Dalhousie University,"Halifax, NS B3H 4R2",3111-Specialist physicians,2
,,,4011-University professors and lecturers,6
,Darrell's Restaurant 5576 Fenwick Limited,"Halifax, NS B3H 1P8",6322-Cooks,2
,DeLong Farm Products Limited,"New Germany, NS B0R 1E0",8432-Nursery and greenhouse workers,9
,den Haan Enterprises Ltd,"Lawrencetown, NS B0S 1M0",8432-Nursery and greenhouse workers,22
,Devonian Coast Wineries Limited,"Malagash, NS B0K 1E0",0911-Manufacturing managers,1
,DONDAR HOLDINGS LTD,"Halifax, NS B3S 1B7",7322-Motor vehicle body repairers,3
,Doraku Foods Ltd,"Halifax, NS B3J 2A4",6322-Cooks,1
,Double Dragon Restaurant Inc.,"New Minas, NS B4N 3E2",6322-Cooks,1
,eEye Inc.,"Halifax, NS B3J 2N4",6221-Technical sales specialists - wholesale trade,1
,El Centro Pizza,"Lawrencetown, NS B2Z 1L2",6322-Cooks,1
,"Elite Balsam Products, Inc","St Andrews, NS B0H 1X0",8432-Nursery and greenhouse workers,6
,Ellslea Farms Limited,"Canning, NS B0P 1H0",8431-General farm workers,3
,Elmridge Farm (2003) Ltd,"Centreville, NS B0P 1J0",8431-General farm workers,27
,EM&I Stantec Ltd.,"Dartmouth, NS B3B 1S1",2261-Non-destructive testers and inspection technicians,3
,Eyking Brothers Farm Ltd,"Millville, NS B1Y 2E2",8431-General farm workers,20
,Eyking Under Glass Ltd,"Millville, NS B1Y 2E1",8432-Nursery and greenhouse workers,6
,Farnell Packaging Ltd,"Dartmouth, NS B3B 1L3","9214-Supervisors, plastic and rubber products manufacturing",1
,Forca Training Centre,"Dartmouth, NS B2W 5G7","5254-Program leaders and instructors in recreation, sport and fitness",1
,Fox Harb'r Development Limited,"Wallace, NS B0K 1Y0",6321-Chefs,2
,Fresh Casual Restaurants Inc Fredericton o/a Swiss Chalet,"Amherst, NS B4H 4L2",6322-Cooks,2
,Fresh Casual Restaurants Inc. Charlottetown o/a Swiss Chalet,"Amherst, NS B4H 4L2",6322-Cooks,2
,Fresh Casual Restaurants Inc. Dieppe o/a Swiss Chalet,"Amherst, NS B4H 4L2",6322-Cooks,4
,Fuller Brothers,"Avonport, NS B0P 1B0",8431-General farm workers,10
,Funsion Enterprises Ltd.,"Halifax, NS B3J 3Z2",6211-Retail sales supervisors,1
,Future Stars' Learning Centre,"Halifax, NS B3S 1G5",4214-Early childhood educators and assistants,2
